person_id,full_name,email,status,hire_date,termination_date,termination_type,employment_type,company_id
31,Angela Morton,williamsyvette@example.org,Active,2022-08-14,,,Full-Time,1
32,Tammy Allison,richardolson@example.com,Active,2024-09-17,,,Contractor,1
33,Carmen Smith,ybaker@example.com,Active,2024-05-10,,,Full-Time,1
34,Michael Cross,smoore@example.org,Terminated,2022-01-03,2024-06-17,Voluntary,Full-Time,1
35,Lauren Daniels,brian97@example.net,Active,2023-06-08,,,Full-Time,1
36,Kim Brown,yorkcasey@example.org,Active,2023-05-31,,,Full-Time,1
37,Cynthia Wilson,bethwilliams@example.org,Active,2023-01-18,,,Full-Time,1
38,Kevin Mills,james53@example.com,Active,2022-11-25,,,Full-Time,1
39,Michael Evans,sarah10@example.com,Active,2025-10-05,,,Full-Time,1
40,Kristine Garcia,williamanderson@example.com,Active,2023-11-20,,,Full-Time,1
41,Sherry Wood,samueldaniels@example.com,Active,2025-11-08,,,Full-Time,1
42,Victoria Valdez,contrerasangela@example.net,Terminated,2022-02-03,2024-09-30,Involuntary,Contractor,1
43,Shawn Baker,newtoneric@example.com,Active,2025-10-24,,,Full-Time,1
44,Michelle Harris,william40@example.org,Active,2024-05-12,,,Full-Time,1
45,Sandra Williams,kellie42@example.net,Active,2022-04-27,,,Full-Time,1
46,Michael Hoffman,jonesnicole@example.org,Active,2024-07-23,,,Full-Time,1
47,Sandra Aguilar,russellwilliams@example.com,Active,2024-12-09,,,Contractor,1
48,Rebecca Valencia,jason31@example.com,Terminated,2023-06-19,2023-12-16,Voluntary,Full-Time,1
49,Stacey Russell,sarayoung@example.org,Terminated,2023-01-26,2023-03-26,Voluntary,Full-Time,1
50,Rita Keith,whitesandra@example.com,Active,2024-01-01,,,Full-Time,1
51,Sharon Cochran,erik16@example.org,Active,2025-03-03,,,Full-Time,1
52,Courtney Velasquez,ybailey@example.org,Active,2024-12-21,,,Contractor,1
53,Matthew Ross,michelle45@example.net,Active,2025-09-03,,,Full-Time,1
54,Meghan Anthony,sheila14@example.org,Active,2025-04-19,,,Full-Time,1
55,Victoria Johnson,yreed@example.com,Active,2025-07-12,,,Part-Time,1
56,William Wilson,jonathanfletcher@example.org,Active,2025-03-25,,,Contractor,1
57,Renee Mcdaniel,michaeljones@example.net,Active,2020-07-06,,,Part-Time,1
58,Lisa Alvarado,cortezkevin@example.com,Active,2020-06-23,,,Contractor,1
59,Erika Terry,jamesortega@example.com,Active,2025-02-02,,,Part-Time,1
60,Stephanie Gilbert,richard04@example.com,Active,2024-11-11,,,Part-Time,1
61,Richard Lawson,steven73@example.net,Active,2024-01-10,,,Full-Time,1
62,Steven Flynn,donnacampbell@example.net,Active,2025-03-11,,,Full-Time,1
63,Frances Cardenas,emilywalker@example.org,Active,2025-07-08,,,Full-Time,1
64,Angel Riggs,gibsonolivia@example.net,Active,2023-01-22,,,Part-Time,1
65,Michael Snyder,dylanwatts@example.org,Active,2025-08-05,,,Contractor,1
66,Colleen Brock,pwilliams@example.org,Terminated,2024-08-20,2024-08-22,Involuntary,Full-Time,1
67,Robert Contreras,stephanie79@example.net,Active,2025-09-24,,,Full-Time,1
68,Jessica Meadows,vmerritt@example.com,Terminated,2021-02-14,2021-12-25,Involuntary,Full-Time,1
69,Paul Larsen,katie87@example.net,Active,2025-01-22,,,Full-Time,1
70,Jeremiah Reeves,josephflores@example.net,Active,2025-01-03,,,Contractor,1
71,Chris Reyes,jasminebrown@example.com,Active,2024-08-06,,,Part-Time,1
72,John Brown,xprice@example.net,Active,2023-08-04,,,Part-Time,1
73,Alicia Gilmore,wwoods@example.com,Active,2024-09-22,,,Full-Time,1
74,Sarah Ashley,vmedina@example.net,Active,2025-08-25,,,Full-Time,1
75,Stephanie Freeman,ryan06@example.com,Active,2022-04-06,,,Part-Time,1
76,Rebecca Ramsey,ncalhoun@example.net,Active,2023-12-11,,,Full-Time,1
77,James Elliott,millerroy@example.com,Active,2025-08-17,,,Part-Time,1
78,David Murphy,wmurphy@example.com,Terminated,2024-07-30,2024-10-01,Voluntary,Contractor,1
79,Trevor Fisher,ruizkaitlyn@example.org,Active,2023-08-21,,,Full-Time,1
80,Mrs. Marie Harrington DDS,herringjames@example.org,Terminated,2020-08-10,2022-09-13,Voluntary,Full-Time,1
81,Cynthia Wells,elliottjeffery@example.net,Active,2025-12-25,,,Full-Time,1
82,Jacob Obrien,stricklandfrank@example.com,Active,2024-01-19,,,Full-Time,1
83,Alexander Collins,tsanders@example.org,Active,2024-12-30,,,Full-Time,1
84,Michael Burton,terrykevin@example.net,Active,2025-03-26,,,Full-Time,1
85,Barbara Riggs,reedross@example.com,Active,2025-03-05,,,Part-Time,1
86,Matthew Smith,gshort@example.com,Active,2024-11-28,,,Part-Time,1
87,Madison Poole,ryangross@example.net,Active,2025-01-20,,,Contractor,1
88,Robert Medina,umarshall@example.net,Active,2025-02-04,,,Part-Time,1
89,Samuel Rivas,ramirezshannon@example.com,Active,2025-09-16,,,Full-Time,1
90,Mary Rogers,lrosales@example.com,Active,2025-04-20,,,Contractor,1
91,Robert Peterson,angela83@example.org,Active,2025-09-18,,,Full-Time,1
92,Jason Peters,hannahbrewer@example.com,Active,2025-06-07,,,Contractor,1
93,Alan Phillips,tholt@example.net,Active,2025-08-30,,,Full-Time,1
94,Kara Schmidt,jbarajas@example.com,Active,2025-11-30,,,Full-Time,1
95,Jesse Parker,davidlee@example.org,Active,2024-01-10,,,Full-Time,1
96,Tiffany Vaughn,javierwashington@example.net,Terminated,2020-06-13,2021-06-02,Voluntary,Full-Time,1
97,Paige Carlson,wallkenneth@example.com,Active,2023-07-04,,,Part-Time,1
98,Adrian Ferguson,brandon08@example.com,Terminated,2020-10-19,2022-04-25,Involuntary,Full-Time,1
99,Beth Oneill,agarcia@example.net,Terminated,2022-07-23,2024-10-23,Involuntary,Full-Time,1
100,John Peterson,kingmichelle@example.org,Active,2023-07-18,,,Part-Time,1
101,Jennifer Jones,hernandezlisa@example.com,Active,2021-07-22,,,Full-Time,1
102,David Grant,yobrien@example.net,Active,2025-08-24,,,Full-Time,1
103,Joseph Hayes,levans@example.com,Active,2024-03-25,,,Full-Time,1
104,Marc Lynch,mezajared@example.org,Terminated,2023-05-27,2025-03-31,Involuntary,Full-Time,1
105,Brad Allen,moorericky@example.net,Terminated,2020-12-05,2020-12-21,Voluntary,Full-Time,1
106,Doris Hall,jacqueline71@example.net,Active,2025-05-22,,,Full-Time,1
107,Dennis Moody,ronaldstephens@example.net,Terminated,2022-03-17,2024-05-22,Involuntary,Full-Time,1
108,Derek Thomas,martinkyle@example.net,Active,2025-08-19,,,Contractor,1
109,Tammy Gonzales,sbarker@example.com,Active,2025-09-09,,,Part-Time,1
110,Kathryn Snyder,georgepamela@example.net,Active,2025-05-06,,,Full-Time,1
111,David Davis,keyemily@example.com,Active,2024-09-19,,,Full-Time,1
112,Pamela Thompson,lmoon@example.net,Active,2022-01-01,,,Full-Time,1
113,Robert Costa,vbailey@example.com,Active,2025-08-16,,,Part-Time,1
114,Shannon Rivera,zroberts@example.net,Terminated,2022-06-04,2022-07-16,Voluntary,Part-Time,1
115,Brandon King,cordovarichard@example.net,Active,2022-05-15,,,Full-Time,1
116,April Booth,mgutierrez@example.net,Active,2025-08-18,,,Full-Time,1
117,Peter Garrett,harrisandrea@example.com,Terminated,2024-07-08,2025-05-16,Voluntary,Contractor,1
118,Michael Martinez,jennifercollins@example.org,Active,2025-08-19,,,Contractor,1
119,Anna Gay,murraydavid@example.org,Terminated,2021-08-12,2024-10-18,Voluntary,Contractor,1
120,Dr. Jordan Hill PhD,jsanchez@example.org,Active,2025-11-26,,,Full-Time,1
121,Thomas Romero,michellehill@example.com,Active,2024-08-11,,,Full-Time,1
122,Richard Adams,campbellkenneth@example.net,Active,2024-12-10,,,Full-Time,1
123,Mary Grimes,wryan@example.com,Active,2025-11-11,,,Full-Time,1
124,Kimberly Gibson,molly39@example.com,Active,2021-01-05,,,Contractor,1
125,Reginald Williams,zthornton@example.com,Terminated,2022-08-05,2024-10-29,Voluntary,Full-Time,1
126,Matthew Hoover,tylerjohnson@example.net,Active,2024-10-21,,,Full-Time,1
127,Evelyn Garcia,dgarcia@example.org,Terminated,2025-03-21,2025-09-03,Involuntary,Contractor,1
128,Jennifer Pena,charlesharrington@example.com,Active,2025-08-10,,,Full-Time,1
129,Michael Santos,melissa86@example.com,Active,2025-09-21,,,Full-Time,1
130,Stacy Freeman,williamsonjimmy@example.net,Terminated,2023-09-23,2024-04-02,Involuntary,Full-Time,1
131,Yolanda Francis,wgood@example.net,Active,2025-05-16,,,Contractor,1
132,Ashlee Jackson,rebecca05@example.org,Terminated,2025-04-03,2025-05-23,Voluntary,Full-Time,1
133,James Thomas,yknight@example.org,Active,2025-05-21,,,Contractor,1
134,Bob Pitts,tyleraguilar@example.org,Active,2025-01-31,,,Full-Time,1
135,David Scott,nolansteven@example.com,Active,2024-10-17,,,Part-Time,1
136,Brooke Alexander,vanessa46@example.net,Active,2025-04-18,,,Full-Time,1
137,Ryan Gonzalez,gcastaneda@example.org,Active,2025-01-21,,,Full-Time,1
138,Ian Phillips,andrew64@example.org,Active,2025-12-10,,,Contractor,1
139,Melissa Garner,lozanojulie@example.com,Active,2025-05-08,,,Contractor,1
140,Crystal Pham,danaoliver@example.net,Active,2024-08-06,,,Full-Time,1
141,Patricia Becker,courtneyberger@example.net,Active,2025-09-12,,,Contractor,1
142,Richard Johnson,jessica14@example.com,Active,2024-01-22,,,Full-Time,1
143,Casey Anderson,alyssa42@example.com,Active,2024-11-03,,,Contractor,1
144,Terry Coffey,julie51@example.com,Terminated,2022-02-05,2022-02-18,Voluntary,Full-Time,1
145,Brenda Levy,zcoffey@example.net,Terminated,2025-01-27,2025-03-09,Voluntary,Part-Time,1
146,Richard Smith,gibsonemily@example.net,Active,2025-01-24,,,Contractor,1
147,James Little,daniel37@example.org,Active,2025-01-24,,,Contractor,1
148,Terri Murphy,deborahreid@example.com,Active,2025-04-11,,,Full-Time,1
149,Elizabeth Ortiz,brandonjohnson@example.com,Active,2025-12-31,,,Contractor,1
150,David Medina,qchavez@example.net,Active,2025-04-10,,,Full-Time,1
151,Kimberly Matthews,nicolepena@example.com,Active,2025-07-08,,,Full-Time,1
152,Teresa Ramirez,jeff73@example.com,Terminated,2025-01-04,2025-04-30,Voluntary,Full-Time,1
153,Michael Stephens,bruce43@example.org,Active,2019-06-27,,,Part-Time,1
154,Samantha Davis,darleneharper@example.org,Active,2022-01-23,,,Contractor,1
155,Gavin Zhang,caseyhubbard@example.org,Terminated,2025-07-05,2025-08-27,Voluntary,Full-Time,1
156,Robin Hall,kristinacarlson@example.com,Active,2024-03-06,,,Full-Time,1
157,Brianna Anderson,lauren10@example.org,Active,2023-12-15,,,Part-Time,1
158,Richard Young,alfred40@example.org,Active,2025-01-01,,,Full-Time,1
159,Kelly Reese,xwest@example.net,Terminated,2024-12-02,2025-04-04,Voluntary,Part-Time,1
160,Jodi Walker,acostaregina@example.net,Terminated,2024-12-16,2025-01-21,Voluntary,Full-Time,1
161,Judith Maynard,lutzmelanie@example.com,Active,2025-08-10,,,Full-Time,1
162,Katherine Browning,lammarc@example.org,Active,2025-07-29,,,Part-Time,1
163,Donald Schultz,oscar98@example.com,Active,2021-03-25,,,Full-Time,1
164,Larry Garcia,farrelldebra@example.net,Active,2025-06-12,,,Part-Time,1
165,Cindy Hayes,robertwilcox@example.com,Active,2023-02-23,,,Full-Time,1
166,Brandon Simmons,nicholas27@example.org,Active,2024-07-06,,,Full-Time,1
167,Bradley Reynolds,lisa80@example.net,Active,2025-12-27,,,Contractor,1
168,Kristina Santiago,qgomez@example.com,Terminated,2024-03-10,2024-03-11,Voluntary,Part-Time,1
169,Michelle Schmitt,michael98@example.org,Terminated,2025-02-08,2025-10-07,Voluntary,Full-Time,1
170,John Boone,megan51@example.com,Active,2025-12-01,,,Part-Time,1
171,Renee Bruce,lynchdiane@example.net,Active,2025-05-31,,,Part-Time,1
172,Christopher Park,sandra50@example.org,Terminated,2025-01-04,2025-01-25,Involuntary,Full-Time,1
173,Kylie Morales,joycebonilla@example.org,Active,2024-09-20,,,Part-Time,1
174,Cindy Barnes,eric45@example.net,Active,2022-07-11,,,Part-Time,1
175,Sophia Moore,craigjoseph@example.net,Active,2025-10-29,,,Full-Time,1
176,Lawrence Perry,kariwilson@example.com,Active,2024-05-02,,,Contractor,1
177,Michael Watkins,brandon69@example.org,Terminated,2021-10-20,2022-03-09,Voluntary,Full-Time,1
178,Eric Clark,kathrynroberts@example.org,Active,2025-12-11,,,Full-Time,1
179,Paul Thompson,opatel@example.net,Terminated,2025-12-22,2025-12-31,Involuntary,Contractor,1
180,Mary Gomez,chensley@example.com,Active,2023-05-05,,,Full-Time,1
181,Thomas Atkins,tberry@example.net,Active,2025-07-21,,,Contractor,1
182,Brian Smith,george97@example.net,Terminated,2025-07-23,2025-09-05,Voluntary,Part-Time,1
183,Anita Richard,ryanmorales@example.org,Terminated,2022-08-20,2024-05-11,Voluntary,Full-Time,1
184,Eric Morgan,kimberly18@example.net,Active,2025-07-16,,,Full-Time,1
185,Jordan Bullock,michael23@example.org,Active,2024-07-09,,,Full-Time,1
186,Craig Morrison,thompsonkendra@example.com,Active,2024-02-11,,,Contractor,1
187,Justin Riley,michelle52@example.com,Active,2025-07-30,,,Contractor,1
188,Jeremy Turner,brittany58@example.org,Active,2023-02-24,,,Full-Time,1
189,Jesse Brown,chase19@example.net,Terminated,2024-07-16,2024-08-28,Voluntary,Part-Time,1
190,Julie Spencer,colelisa@example.net,Active,2024-11-27,,,Full-Time,1
191,Larry Mason,hayeslisa@example.com,Terminated,2024-09-23,2025-01-03,Voluntary,Full-Time,1
192,Mrs. Maria Williams,hritter@example.net,Active,2025-10-23,,,Contractor,1
193,Helen Hardin,vortiz@example.net,Active,2022-11-14,,,Full-Time,1
194,Rachel Holland,riveraangela@example.com,Active,2023-06-10,,,Full-Time,1
195,Nathaniel Douglas,mathewaguilar@example.org,Terminated,2024-03-04,2024-03-08,Voluntary,Full-Time,1
196,Emily Douglas,tanderson@example.org,Active,2023-01-25,,,Part-Time,1
197,James Conner,elizabethcalderon@example.net,Terminated,2022-02-20,2023-05-04,Voluntary,Full-Time,1
198,Susan Davis DDS,andrew42@example.org,Active,2025-02-11,,,Full-Time,1
199,Ralph Lee,ericphillips@example.org,Active,2025-06-14,,,Contractor,1
200,Kimberly Rodgers,stanleynancy@example.net,Terminated,2022-02-16,2022-06-06,Involuntary,Full-Time,1
201,James Martin,jenniferwilliams@example.com,Terminated,2022-03-30,2024-01-30,Involuntary,Part-Time,1
202,Cynthia Wallace,karen73@example.net,Terminated,2021-02-28,2023-04-20,Involuntary,Contractor,1
203,Vincent Mueller,michealvalentine@example.com,Terminated,2023-04-02,2025-08-21,Voluntary,Part-Time,1
204,Douglas Reyes,mburch@example.net,Active,2025-01-07,,,Full-Time,1
205,David Davidson,angela18@example.org,Active,2025-01-21,,,Full-Time,1
206,Phillip Nelson,mariahdavis@example.org,Terminated,2025-01-11,2025-08-18,Voluntary,Contractor,1
207,Stacey Arias,gbrown@example.com,Active,2025-09-09,,,Full-Time,1
208,Zachary Brooks,florescory@example.net,Active,2023-04-25,,,Part-Time,1
209,Raven Taylor,samantha72@example.net,Active,2025-04-22,,,Full-Time,1
210,Luis Bullock,scottmary@example.net,Active,2025-01-25,,,Contractor,1
211,Lisa Henderson,john10@example.org,Active,2025-11-27,,,Part-Time,1
212,Riley Bryant,copelandvincent@example.net,Terminated,2024-01-21,2025-02-18,Involuntary,Full-Time,1
213,Jose Allen,kellysmith@example.com,Active,2024-03-17,,,Full-Time,1
214,Jason Beck,millsmichael@example.net,Active,2024-01-20,,,Full-Time,1
215,Rachel Romero,myerstheodore@example.net,Active,2023-03-27,,,Full-Time,1
216,James Burgess,kristina53@example.net,Terminated,2025-07-01,2025-11-21,Involuntary,Full-Time,1
217,Ashley Perkins,dennis58@example.com,Active,2025-06-04,,,Contractor,1
218,Carrie Maxwell,epollard@example.net,Active,2024-07-07,,,Full-Time,1
219,Chad Baldwin,mjohnson@example.org,Terminated,2024-02-23,2025-12-31,Voluntary,Full-Time,1
220,Stacey Stewart,zachary87@example.com,Active,2024-08-02,,,Part-Time,1
221,Matthew Mitchell,glennmartin@example.org,Terminated,2024-12-27,2025-09-01,Voluntary,Full-Time,1
222,Jessica Ross,ykline@example.com,Terminated,2023-01-17,2025-04-12,Voluntary,Full-Time,1
223,Kathleen Jimenez,laurie61@example.com,Terminated,2023-02-22,2025-03-21,Voluntary,Full-Time,1
224,Samantha Gardner,curtis54@example.com,Terminated,2023-02-12,2025-01-18,Voluntary,Full-Time,1
225,Mitchell Jackson,cbell@example.net,Terminated,2021-07-20,2023-09-02,Voluntary,Part-Time,1
226,Heather Bolton,danielle01@example.net,Active,2025-01-26,,,Full-Time,1
227,Heidi Owen,stephaniethomas@example.net,Terminated,2025-10-12,2025-10-15,Voluntary,Contractor,1
228,Jessica Martinez,kimberlydiaz@example.com,Active,2023-02-19,,,Contractor,1
229,Amanda Hernandez,xrush@example.com,Active,2025-07-09,,,Full-Time,1
230,Laura Moreno,redwards@example.org,Active,2023-09-01,,,Part-Time,1
231,Allison Lopez,hmcintyre@example.com,Terminated,2024-05-30,2025-01-25,Voluntary,Full-Time,1
232,Michele Lewis,heather73@example.org,Active,2023-01-16,,,Full-Time,1
233,Benjamin Thompson,zosborn@example.net,Terminated,2023-07-02,2023-08-05,Involuntary,Full-Time,1
234,Victoria Contreras,piercekelly@example.com,Terminated,2024-07-24,2024-07-26,Voluntary,Full-Time,1
235,Michelle Ho,laurahicks@example.org,Active,2024-02-14,,,Full-Time,1
236,Dr. Cynthia Snyder,angela57@example.net,Active,2025-03-04,,,Full-Time,1
237,Stephen Jones,ukey@example.com,Terminated,2023-08-10,2024-07-11,Involuntary,Contractor,1
238,Patricia Morrow,martinezlogan@example.org,Active,2025-06-20,,,Contractor,1
239,Michael Cooper,katrinaanderson@example.net,Active,2024-11-02,,,Full-Time,1
240,Amy Martinez,kevinmartin@example.net,Active,2025-02-23,,,Full-Time,1
241,Travis Stone,meghan43@example.net,Terminated,2025-02-15,2025-06-04,Voluntary,Contractor,1
242,Denise Weber,shawgary@example.net,Active,2025-07-20,,,Full-Time,1
243,Matthew Le,megan90@example.org,Active,2022-09-22,,,Full-Time,1
244,Travis Wise,debra96@example.net,Active,2022-02-04,,,Full-Time,1
245,Kathleen Burton,dawn47@example.org,Active,2025-07-27,,,Full-Time,1
246,Melinda Evans,barkereric@example.com,Active,2025-04-12,,,Full-Time,1
247,Mr. Lawrence Edwards,jessica56@example.org,Active,2024-04-26,,,Part-Time,1
248,Kayla Rodriguez,stevenadams@example.org,Active,2023-09-02,,,Full-Time,1
249,Anthony Dougherty,kwright@example.com,Active,2023-11-24,,,Full-Time,1
250,Michelle Lee,tyronerobertson@example.com,Active,2024-11-28,,,Contractor,1
251,Kathleen Davis,pwagner@example.org,Active,2022-11-01,,,Full-Time,1
252,Amber Campbell,amitchell@example.org,Active,2024-02-09,,,Full-Time,1
253,Stephen Luna,zdiaz@example.org,Active,2025-07-19,,,Full-Time,1
254,Chloe Tran,hughesshannon@example.net,Active,2025-02-25,,,Full-Time,1
255,William Becker,andersoncolin@example.com,Active,2023-09-15,,,Full-Time,1
256,Gina Mcmillan,jameshicks@example.net,Active,2025-09-24,,,Full-Time,1
257,Andrew Reeves,jstone@example.net,Active,2024-09-23,,,Full-Time,1
258,Brenda Velazquez,francisco94@example.net,Active,2025-02-18,,,Full-Time,1
259,Ronald Patel,thomas05@example.com,Active,2025-02-23,,,Full-Time,1
260,Veronica Silva,carlsonjoseph@example.net,Active,2025-08-15,,,Contractor,1
261,Paula Lane,silvageorge@example.net,Active,2025-07-26,,,Contractor,1
262,Patricia James,anthonyvaughan@example.org,Terminated,2024-02-13,2025-08-06,Voluntary,Full-Time,1
263,Jeremy Barnes,avaughn@example.net,Terminated,2025-05-16,2025-07-14,Voluntary,Full-Time,1
264,Tami Salas,thorntonapril@example.net,Terminated,2025-02-16,2025-06-13,Voluntary,Part-Time,1
265,Matthew Fox,sue78@example.com,Active,2024-07-27,,,Full-Time,1
266,Megan Dillon,chelsea33@example.com,Active,2025-11-19,,,Contractor,1
267,Courtney Dudley,kellie37@example.com,Active,2025-11-12,,,Contractor,1
268,Justin Michael,keith98@example.com,Active,2022-07-18,,,Full-Time,1
269,Jennifer Reed,kellyroberts@example.net,Active,2024-09-07,,,Full-Time,1
270,Thomas Douglas,ilewis@example.com,Active,2025-05-05,,,Full-Time,1
271,Melissa Taylor,johnsantiago@example.net,Terminated,2025-10-24,2025-12-31,Involuntary,Full-Time,1
272,David Garcia,jennifer12@example.org,Active,2025-10-09,,,Full-Time,1
273,Vanessa Moore,mwoods@example.com,Active,2025-05-20,,,Full-Time,1
274,Matthew Velez,pearsonjesse@example.net,Active,2024-09-15,,,Full-Time,1
275,Taylor Gentry,robertmonroe@example.org,Active,2024-05-28,,,Part-Time,1
276,Jennifer Simpson DVM,nancy04@example.net,Active,2025-04-07,,,Full-Time,1
277,Tanya Rogers,ihays@example.net,Active,2025-05-18,,,Full-Time,1
278,Todd Rosales MD,lisarivera@example.net,Active,2024-02-02,,,Full-Time,1
279,David Lopez,krystal93@example.org,Active,2024-05-10,,,Part-Time,1
280,Margaret Sullivan,frobertson@example.com,Active,2024-07-17,,,Full-Time,1
281,Cathy Taylor,shari04@example.com,Terminated,2019-08-08,2023-08-25,Voluntary,Full-Time,1
282,Paul Finley,brandi90@example.com,Active,2025-02-10,,,Full-Time,1
283,Melissa Brown,marshallerik@example.net,Terminated,2021-12-05,2022-03-25,Involuntary,Contractor,1
284,Stephanie Padilla,hannah45@example.net,Active,2025-01-14,,,Full-Time,1
285,Tyler Mendoza,madkins@example.com,Terminated,2023-11-06,2023-12-21,Voluntary,Full-Time,1
286,Joshua Ruiz,kathleenbecker@example.net,Terminated,2023-01-14,2025-04-28,Voluntary,Full-Time,1
287,Angela Griffin,christian91@example.org,Active,2024-01-11,,,Full-Time,1
288,Stephanie Harris,franklinbond@example.com,Active,2024-07-20,,,Full-Time,1
289,Daniel Aguilar,nolansean@example.org,Active,2024-07-24,,,Full-Time,1
290,Jose Bryant,hansenemily@example.com,Terminated,2023-10-15,2025-10-15,Voluntary,Full-Time,1
291,Jennifer Velasquez,bethwilliams@example.com,Active,2024-03-17,,,Full-Time,1
292,Kimberly Brown,andersenthomas@example.com,Active,2024-01-22,,,Full-Time,1
293,Randy Cannon,ybrooks@example.com,Active,2025-08-04,,,Full-Time,1
294,Susan Bennett,desireebailey@example.org,Terminated,2023-03-01,2024-08-23,Voluntary,Full-Time,1
295,Jenna Anderson DVM,avilatiffany@example.com,Active,2020-01-18,,,Contractor,1
296,Kimberly Patel,johnreed@example.com,Terminated,2023-08-11,2025-08-09,Involuntary,Part-Time,1
297,Shaun Cannon,pachecorobert@example.org,Active,2022-03-14,,,Full-Time,1
298,Austin Wheeler,tharper@example.org,Active,2025-10-17,,,Part-Time,1
299,Andrew Gonzales,karenparsons@example.org,Active,2025-02-14,,,Full-Time,1
300,Donna Cabrera,barbara53@example.com,Active,2025-01-05,,,Full-Time,1
301,Victoria Boyd,dturner@example.net,Active,2023-01-15,,,Full-Time,1
302,Sheryl Buck,dpeters@example.com,Active,2025-05-08,,,Full-Time,1
303,Megan Floyd,heather62@example.com,Active,2025-04-10,,,Full-Time,1
304,Paul Wells,kevinzimmerman@example.com,Active,2024-07-23,,,Full-Time,1
305,Kristina Faulkner,paulscott@example.com,Active,2025-05-12,,,Full-Time,1
306,Tammy Boone,nicholsmaria@example.org,Active,2024-03-04,,,Contractor,1
307,Michael Morrison,lopezkathleen@example.net,Active,2025-02-03,,,Full-Time,1
308,Claire Clark,kevin03@example.org,Active,2024-11-01,,,Full-Time,1
309,Autumn Key,srocha@example.net,Active,2024-01-26,,,Full-Time,1
310,Jennifer Allen,kimberly67@example.net,Active,2024-08-04,,,Full-Time,1
311,Elizabeth Ward,zowens@example.net,Active,2022-10-01,,,Full-Time,1
312,Ryan Rocha,lawrence09@example.org,Active,2024-02-13,,,Full-Time,1
313,Alexis Tran,mphillips@example.com,Terminated,2020-11-30,2022-08-05,Voluntary,Part-Time,1
314,Kelly Sanchez,jonathan77@example.com,Active,2025-03-16,,,Part-Time,1
315,Robert Jackson,iwhite@example.net,Active,2025-10-19,,,Contractor,1
316,Kelly Combs,landryelizabeth@example.org,Active,2019-02-12,,,Full-Time,1
317,Ryan Hall,albertwagner@example.com,Active,2025-07-01,,,Full-Time,1
318,Mark Peck,bhopkins@example.org,Active,2025-02-05,,,Full-Time,1
319,Jennifer Smith,amanda40@example.net,Active,2024-04-23,,,Full-Time,1
320,Megan Drake,danieldavis@example.org,Active,2021-02-16,,,Full-Time,1
321,Manuel King,joseph61@example.com,Terminated,2021-07-22,2021-07-27,Involuntary,Contractor,1
